NG17 4JL,451373,0359985
PL6 8DH,249930,0059564
CV2 2DX,438289,0280506
N19 5NF,529078,0186930
UB1 3EU,514629,0179928
SY10 7AG,330607,0332361
WV10 0QP,393625,0300219
SR4 7TP,437912,0556546
HR1 2ER,351710,0240083
CV10 7DJ,435493,0290649
B15 2TG,403977,0283921
ST4 8HH,388827,0341237
NR4 7UY,618153,0307069
M23 9LT,380598,0387938
M6 8HD,378637,0399030
BL4 0JR,371617,0406456
OL6 9RW,395358,0399427
NR6 5BE,619952,0311828
SN3 6BB,419017,0182216
RG24 9NA,462177,0153875
DA2 8DA,557094,0173081
DY1 2HQ,392052,0289456
NW3 5BA,526613,0184689
CA28 8JG,298940,0516115
CA1 3SX,343390,0553709
NN16 8UZ,485731,0279053
NN1 5BD,476319,0260349
OX4 2GX,454715,0203689
SP2 8BJ,414831,0127198
NN15 7PW,487047,0278110
WC1N 3JH,530533,0182041
DN2 5LT,459162,0404161
EC1V 2PD,532602,0182655
NG34 8GG,507953,0346935
ME7 5NY,577004,0167601
RH19 3DZ,539823,0139207
DA2 7WG,551263,0172887
SW3 6JJ,526969,0178429
B4 6NH,407312,0287447
L7 8XP,335962,0390733
CM1 7ET,570230,0211319
CF15 7QZ,311490,0186045
SW10 9NH,526356,0177718
PE29 6NT,522564,0272105
CM20 1QX,543989,0210152
E9 6SR,535570,0185336
SW17 7DJ,527130,0172513
B9 5ST,411811,0286675
NE9 6SX,426956,0560604
LS9 7TF,431684,0434615
CM2 0QX,570479,0206335
ST16 3SR,392744,0323677
WN1 2NN,358424,0406975
B31 2AP,402761,0280350
B15 2TH,404278,0283916
N15 3TH,532294,0188587
SE1 8SD,531352,0179610
NW1 2PG,529310,0182402
CB21 5EF,549702,0256284
OL6 7SR,393463,0398793
SW3 6NP,527090,0178341
LL17 0WA,301218,0381267
LE4 8PQ,460744,0309133
NE7 7DN,426108,0567654
GL53 7AG,395239,0221369
NE29 8NH,434151,0570208
DE22 3NE,432813,0334886
OX3 9DU,453940,0207531
KT16 0PZ,502611,0165338
RH1 5RH,528458,0148271
GL1 1LY,383246,0218010
TS4 3BW,450885,0517673
WA2 8WA,359775,0392697
LA9 7RG,352432,0490370
NW1 2PL,529192,0182517
SE5 8AZ,532664,0176146
HU10 6ED,502617,0431748
BS10 5NB,359067,0177484
SN15 1GG,392535,0174406
SM5 1AA,526504,0166150
CT1 3NG,615456,0156464
TS24 9AH,449858,0534426
PR8 6PN,335373,0415671
SO40 2RZ,433122,0114755
M13 9WL,384979,0396212
L3 1DL,333685,0390551
PR5 6AW,357933,0424968
M8 5RB,384880,0402381
HU3 2JZ,508378,0428777
LN2 4AX,498693,0371937
LE5 4QF,461991,0304043
ME16 9QQ,573362,0155654
WD18 0HB,510505,0195664
SG1 4AB,522999,0226630
SK2 7JE,391316,0387445
E1 6LP,533854,0181474
SS11 7XX,576115,0195752
WR5 1DD,387713,0254788
AL3 5TL,514272,0208322
EX2 5AF,293754,0091723
WA5 1QG,359485,0388745
RG12 1BQ,486695,0169384
HD3 3EA,412236,0417680
NG7 2UH,454800,0338800
PO19 1BX,485995,0105115
DL2 2TS,426549,0516546
NE3 3XT,423565,0568053
NE15 8NY,418512,0563937
BL1 5DD,368594,0409262
WF2 0XQ,431861,0423772
NG8 6PY,451250,0342951
CH2 1BQ,340071,0368653
TN37 7PT,580294,0112927
DN4 8QN,456755,0400128
WF1 4EE,433870,0421896
WF1 3SP,433503,0422441
BN2 5BE,532654,0103901
B18 7QH,404680,0287859
FY3 8NR,333221,0436515
DE22 3LZ,432886,0335737
PR2 9HT,353532,0433031
DL3 6HX,428331,0515098
HP7 0JD,495446,0196924
BB2 3HH,369574,0426674
B1 3RB,405712,0287358
M25 3BL,380780,0404495
SY3 8XQ,346474,0312695
KT22 7AD,516136,0156700
ME19 4AX,567366,0156076
L13 1FB,338271,0390103
WN3 6PR,356457,0403784
NR1 3FR,623469,0307805
AL7 1BW,524621,0213103
LN5 7JH,498623,0370952
LS6 1PF,428510,0435496
CH41 5AL,332525,0388700
DE45 1AD,421976,0369132
TW11 8HU,516436,0171155
DY5 1LX,392013,0287532
NR6 5NA,619877,0311450
BN7 2XW,541821,0110170
OX26 6HR,458626,0221810
EX2 7HY,296698,0092195
CV6 6NY,434988,0284476
W2 1NY,526826,0181364
DY2 8PS,394362,0290062
BN11 2DH,515386,0103181
CF11 9LJ,317456,0176673
PE27 4LG,531829,0271175
B7 4BN,407850,0287718
SW1E 6QP,529392,0179268
ME16 9NT,572978,0156169
